12:15;TP488;Lisbon (LIS);TAP Express ;E190 (CS-TPO) ;Diverted to CEQ;Arrival
12:20;AF6210;Paris (ORY);Air France ;A320 (F-HBNE) ;Landed 12:10;Arrival
12:20;BA8475;London (LCY);British Airways ;E190 (G-LCYZ) ;Landed 12:21;Arrival
12:20;SN3617;Brussels (BRU);Brussels Airlines ;A320 (OO-TCV) ;Landed 12:23;Arrival
12:30;SU6639;Moscow (VKO);Rossiya ;B738 (VP-BUS) ;Landed 11:54;Arrival
12:35;LH2272;Munich (MUC);Lufthansa ;A320 (D-AIWB) ;Landed 12:42;Arrival
12:35;U23993;Paris (CDG);easyJet ;A320 (OE-IJH) ;Landed 12:31;Arrival
12:36;HS456;Monte Carlo (MCM);Heli Securite ;NDE ;Unknown;Arrival
12:36;W25132;Monte Carlo (MCM);Flexflight ;EC3 ;Unknown;Arrival
12:37;HS457;Monte Carlo (MCM);Heli Securite ;NDE ;Unknown;Arrival
12:37;W25134;Monte Carlo (MCM);Flexflight ;EC3 ;Unknown;Arrival
12:40;AF6212;Paris (ORY);Air France ;A320 (F-HBNG) ;Landed 12:28;Arrival
12:40;DY4321;Stockholm (ARN);Norwegian (Asta Nielsen Livery) ;B738 (LN-NIE) ;Landed 12:26;Arrival
12:45;BA346;London (LHR);British Airways ;A320 (G-EUUO) ;Landed 12:40;Arrival
12:50;DY4315;Gothenburg (GOT);Norwegian ;B738 (LN-NHD) ;Landed 12:33;Arrival
12:50;D83640;Copenhagen (CPH);Norwegian ;B738 (EI-FVJ) ;Landed 12:37;Arrival
12:55;DY1404;Oslo (OSL);Norwegian (Regine Normann Livery) ;B738 (LN-NGS) ;Landed 13:03;Arrival
13:00;U21737;Toulouse (TLS);easyJet ;A319 (G-EZBO) ;Landed 12:52;Arrival
13:05;AF6214;Paris (ORY);Air France ;A320 (F-GKXE) ;Landed 13:00;Arrival
13:05;XK402;Figari (FSC);Air Corsica ;AT75 (F-GRPY) ;Landed 12:49;Arrival
13:06;HS458;Monte Carlo (MCM);Heli Securite ;NDE ;Unknown;Arrival
13:06;W25136;Monte Carlo (MCM);Flexflight ;EC3 ;Unknown;Arrival
13:07;HS459;Monte Carlo (MCM);Heli Securite ;NDE ;Unknown;Arrival
13:07;W25138;Monte Carlo (MCM);Flexflight ;EC3 ;Unknown;Arrival
13:15;SU2470;Moscow (SVO);Aeroflot ;A321 (VQ-BHK) ;Landed 12:47;Arrival
13:35;AF7710;Paris (CDG);Air France ;A320 (F-GKXO) ;Landed 13:40;Arrival
13:35;QR53;Doha (DOH);Qatar Airways ;B788 (A7-BCW) ;Landed 13:27;Arrival
13:35;U24063;Paris (ORY);easyJet ;A320 (OE-IJL) ;Landed 13:21;Arrival
13:36;HS460;Monte Carlo (MCM);Heli Securite ;NDE ;Unknown;Arrival
13:36;W25140;Monte Carlo (MCM);Flexflight ;EC3 ;Unknown;Arrival
13:37;HS461;Monte Carlo (MCM);Heli Securite ;NDE ;Unknown;Arrival
13:37;W25142;Monte Carlo (MCM);Flexflight ;EC3 ;Unknown;Arrival
13:40;AF6216;Paris (ORY);Air France ;A318 (F-GUGN) ;Landed 13:31;Arrival
13:40;EK77;Dubai (DXB);Emirates ;A388 (A6-EUM) ;Landed 13:13;Arrival
13:40;U21680;Lille (LIL);easyJet ;A320 (G-EZRP) ;Landed 13:24;Arrival
13:45;U21662;Naples (NAP);easyJet ;A20N (G-UZHO) ;Landed 13:59;Arrival
13:50;LH1060;Frankfurt (FRA);Lufthansa ;A320 (D-AIZO) ;Landed 13:51;Arrival
13:50;U21674;Nantes (NTE);easyJet ;A320 (OE-IVT) ;Landed 13:38;Arrival
14:00;LG8255;Luxembourg (LUX);Luxair ;B738 (LX-LBB) ;Landed 13:54;Arrival
14:00;W63057;Bucharest (OTP);Wizz Air ;A321 (HA-LXA) ;Landed 13:35;Arrival
14:05;LX568;Zurich (ZRH);Swiss ;BCS3 (HB-JCM) ;Landed 14:04;Arrival
14:06;HS462;Monte Carlo (MCM);Heli Securite ;NDE ;Unknown;Arrival
14:06;W25144;Monte Carlo (MCM);Flexflight ;EC3 ;Unknown;Arrival
14:07;HS463;Monte Carlo (MCM);Heli Securite ;NDE ;Unknown;Arrival
14:07;W25146;Monte Carlo (MCM);Flexflight ;EC3 ;Unknown;Arrival
